u_id,group_id,lat,lon,sitename,filename,elevation,country,gcmd_location,author,pub_year,title,journal,archive_type,min_yr,max_yr,proxy,num_record,num_control,url,process_group,resolution
31,31,20.1167,117.3833,GIK17940_2,GIK17940_2.Pelejero.1999.lpd,-1727,Pacific Ocean>Western Pacific Ocean>South China Sea,Pacific Ocean>Western Pacific Ocean>South China Sea,"Pelejero, Carles; Grimalt, Joan O.; Heilig, Stephanie; Kienast, Markus; Wang, Luejiang",1999,High-resolution U K37 temperature reconstructions in the South China Sea over the past 220 kyr,Paleoceanography,MarineSediment,14,41106.75,alkenone,878,5,10.1594/PANGAEA.794489,wave3,21.36629941
32,32,-3.6298,119.36,GiK18515_3,GiK18515_3.lpd,-688,Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas,Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas,"Schroder, Jan F.; Holbourn, Ann; Kuhnt, Wolfgang; K _ssner, Kevin",2016,Variations in sea surface hydrology in the southern Makassar Strait over the past 26 kyr,Quaternary Science Reviews,MarineSediment,214,26421,Mg/Ca,335,10,10.1594/PANGAEA.868615,wave3,12.78284428
33,33,74.9981,13.9685,GIK23258_2,GIK23258_2.Martrat.2003.lpd,-1768,Atlantic Ocean>North Atlantic Ocean>Norwegian Sea,Atlantic Ocean>North Atlantic Ocean>Norwegian Sea,"Martrat, Belen; Grimalt, Joan O.; Villanueva, Joan; van Kreveld, Shirley; Sarnthein, Michael",2003,"Climatic dependence of the organic matter contributions in the north eastern Norwegian Sea over the last 15,000 years",Organic Geochemistry,MarineSediment,760,14120,alkenone,387,5,10.1594/PANGAEA.780465,wave3,28.96706587
34,34,58.53,7.73,Grostjorn,Grostjorn.Eide.2009.lpd,180,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,-47,8914,pollen,57,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,6.360897221
35,35,72.6947,-157.52,HLY0501,HLY0501.deVernal.2013.lpd,415,Arctic Ocean,Arctic Ocean,"de Vernal, Anne; Hillaire-Marcel, Claude; Rochon, Andre; Frechette, Bianca; Henry, Maryse; Solignac, Sandrine; Bonnet, Sophie",2013,"Dinocyst-based reconstructions of sea ice cover concentration during the Holocene in the Arctic Ocean, the northern North Atlantic Ocean and its adjacent seas",Quaternary Science Reviews,MarineSediment,225.35,8209.4,dinocyst,73,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,9.143229313
36,36,58.3677,-57.507,HU84,HU84.deVernal.2013.lpd,-2853,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"de Vernal, Anne; Hillaire-Marcel, Claude; Rochon, Andre; Frechette, Bianca; Henry, Maryse; Solignac, Sandrine; Bonnet, Sophie",2013,"Dinocyst-based reconstructions of sea ice cover concentration during the Holocene in the Arctic Ocean, the northern North Atlantic Ocean and its adjacent seas",Quaternary Science Reviews,MarineSediment,1968.1,8296.5,dinocyst,93,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,14.69565767
37,37,58.2098,-48.3733,HU90,HU90.deVernal.2013.lpd,-3380,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"de Vernal, Anne; Hillaire-Marcel, Claude; Rochon, Andre; Frechette, Bianca; Henry, Maryse; Solignac, Sandrine; Bonnet, Sophie",2013,"Dinocyst-based reconstructions of sea ice cover concentration during the Holocene in the Arctic Ocean, the northern North Atlantic Ocean and its adjacent seas",Quaternary Science Reviews,MarineSediment,1361.5,11918.6,dinocyst,231,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,21.88100899
38,38,77.2667,-74.3317,HU91-039-008,HU91-039-008.Levac.2001.lpd,-663,Arctic Ocean,Arctic Ocean,"Levac, Elisabeth; Vernal, Anne De; Blake Jr., Weston",2001,Sea-surface conditions in northernmost Baffin Bay during the Holocene: palynological evidence,Journal of Quaternary Science,MarineSediment,1548.8,6755.8,dinocyst,41,17,www.ncdc.noaa.gov/paleo/study/15444,wave3,7.874015748
39,39,61.9,-145.6667,Hudson-AK,Hudson.Clegg.2011.lpd,657,North America>United States Of America>Alaska,North America>United States Of America>Alaska,"Clegg, B. F.; Kelly, R.; Clarke, G. H.; Walker, I. R.; Hu, F. S.",2011,Nonlinear response of summer temperature to Holocene insolation forcing in Alaska,Proceedings of the National Academy of Sciences,LakeSediment,-27.942,9574,chironomid,83,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,8.644084707
40,40,71.99,14.36,JM01-1199 and T88-2 splice,JM01-1199.Hald.2007.lpd,-1500,Atlantic Ocean>North Atlantic Ocean>Norwegian Sea,Atlantic Ocean>North Atlantic Ocean>Norwegian Sea,"Hald, Morten; Andersson, Carin; Ebbesen, Hanne; Jansen, Eystein; Klitgaard-Kristensen, Dorthe; Risebrobakken, Bj  rg; Salomonsen, Gaute R.; Sarnthein, Michael; Sejrup, Hans Petter; Telford, Richard J.",2007,Variations in temperature and extent of Atlantic Water in the northern North Atlantic during the Holocene,Quaternary Science Reviews,MarineSediment,-50.1,13354.931,foraminifera,178,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,13.27859667
41,41,68.1,-29.35,JM96-1207,JM96-1207.Solignac.2013.lpd,-404,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Solignac, Sandrine; Giraudeau, Jacques; de Vernal, Anne",2006,Holocene sea surface conditions in the western North Atlantic: Spatial and temporal heterogeneities,Paleoceanography,MarineSediment,456.93,10589,dinocyst,101,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,9.968348028
42,42,62.02,10.37,Kinnshaugen,Kinnshaugen.Seppa.2009.lpd,591,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,-23,8829,pollen,48,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,5.422503389
43,43,26.374,-92.027,KNR159_JPC26,KNR159_JPC26.Antonarakou.2015.lpd,-1995,Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico,Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico,"Antonarakou, A.; Kontakiotis, G.; Mortyn, P.G.; Drinia, H.; Sprovieri, M.; Besiou, E.; Tripsanas, E.",2015,"Biotic and geochemical (   18 O,    13 C, Mg/Ca, Ba/Ca) responses of Globigerinoides ruber morphotypes to upper water column variations during the last deglaciation, Gulf of Mexico",Geochimica et Cosmochimica Acta,MarineSediment,510,21130,Mg/Ca,64,5,this compilation,wave3,3.103782735
44,44,24.3267,-83.2524,KNR166_JPC26,KNR166_JPC26.Schmidt.2011.lpd,-546,Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico,Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico,"Schmidt, Matthew W.; Lynch Stieglitz, Jean",2011,Florida Straits deglacial temperature and salinity change: Implications for tropical hydrologic cycle variability during the Younger Dryas,Paleoceanography,MarineSediment,6130,19980,Mg/Ca,436,5,www.ncdc.noaa.gov/paleo/study/12257,wave3,31.4801444
45,45,24.4117,-83.219,KNR166_JPC51,KNR166_JPC51.Schmidt.2012.lpd,-198,Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico,Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico,"Schmidt, Matthew W.; Weinlein, William A.; Marcantonio, Franco; Lynch-Stieglitz, Jean",2012,Solar forcing of Florida Straits surface salinity during the early Holocene,Paleoceanography,MarineSediment,1488,9149,Mg/Ca,164,5,www.ncdc.noaa.gov/paleo/study/13608,wave3,21.40712701
46,46,-3.7492,-81.1342,KNR195_5_CDH23,KNR195_5_CDH23.Bova.2015.lpd,-370,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Bova, Samantha C.; Herbert, Timothy; Rosenthal, Yair; Kalansky, Julie; Altabet, Mark; Chazen, Caitlin; Mojarro, Angel; Zech, Jana",2015,Links between eastern equatorial Pacific stratification and atmospheric CO2 rise during the last deglaciation,Paleoceanography,MarineSediment,1273.14,14093.53,alkenone,570,5,www.ncdc.noaa.gov/paleo/study/19684,wave3,44.46042593
47,47,-3.986,-81.3087,KNR195_5_CDH26,KNR195_5_CDH26.Bova.2015.lpd,-1023,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Bova, Samantha C.; Herbert, Timothy; Rosenthal, Yair; Kalansky, Julie; Altabet, Mark; Chazen, Caitlin; Mojarro, Angel; Zech, Jana",2015,Links between eastern equatorial Pacific stratification and atmospheric CO2 rise during the last deglaciation,Paleoceanography,MarineSediment,1366.28,25831.26,alkenone,504,5,www.ncdc.noaa.gov/paleo/study/19684,wave3,20.60087521
48,48,31.63,128.95,KY07_04_PC1,KY07_04_PC1.Kubota.2010.lpd,-758,Pacific Ocean>Western Pacific Ocean>East China Sea,Pacific Ocean>Western Pacific Ocean>East China Sea,"Kubota, Yoshimi; Kimoto, Katsunori; Tada, Ryuji; Oda, Hirokuni; Yokoyama, Yusuke; Matsuzaki, Hiroyuki",2010,Variations of East Asian summer monsoon since the last deglaciation based on Mg/Ca and oxygen isotope of planktic foraminifera in the northern East China Sea,Paleoceanography,MarineSediment,21,18784,Mg/Ca,195,5,10.1594/PANGAEA.831134,wave3,10.39279433
49,49,68.52,14.87,Liltlvatn,Liltlvatn.Seppa.2009.lpd,106,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,-45,8779.86,pollen,38,5,www.ncdc.noaa.gov/paleo/study/15444,wave3,4.306017319
50,50,59.2,-135.4,Lily,Lily.Cwynar.1990.lpd,230,North America>United States Of America>Alaska,North America>United States Of America>Alaska,"Cwynar, Les C.",1990,"A late Quaternary vegetation history from Lily Lake, Chilkat Peninsula, southeast Alaska",Canadian Journal of Botany,LakeSediment,54,12740,pollen,62,17,www.ncdc.noaa.gov/paleo/study/15444,wave3,4.887277314
51,51,58.9383,-20.4083,LO09-14,LO09-14.Berner.2008.lpd,-1685,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Berner, K. S.; Ko脤陇, N.; Divine, D.; Godtliebsen, F.; Moros, M.",2008,A decadal-scale Holocene sea surface temperature record from the subpolar North Atlantic constructed using diatoms and statistics and its relation to other climate parameters,Paleoceanography,MarineSediment,367.5,10976.136,diatom,329,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,31.01246946
52,52,49.3757,152.8779,LV29_114_3,LV29_114_3.Riethdorf.2013.lpd,-1762,Pacific Ocean>North Pacific Ocean>Sea Of Okhotsk,Pacific Ocean>North Pacific Ocean>Sea Of Okhotsk,"Riethdorf, Jan-Rainer; Max, Lars; N _rnberg, Dirk; Lembke-Jene, Lester; Tiedemann, Ralf",2013,Deglacial development of (sub) sea surface temperature and salinity in the subarctic northwest Pacific: Implications for upper-ocean stratification,Paleoceanography,MarineSediment,1120,20320,Mg/Ca,220,5,10.1594/PANGAEA.786249,wave3,11.45833333
53,53,68.26,65.8,Lyadhej-To,Lyadhej-To.Andreev.2005.lpd,150,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Andreev, Andrei A.; Tarasov, Pavel E.; Ilyashuk, Boris P.; Ilyashuk, Elena A.; Cremer, Holger; Hermichen, Wolf-Dieter; Wischer, Frank; Hubberten, Hans-Wolfgang",2005,"Holocene environmental history recorded in Lake Lyadhej-To sediments, polar Urals, Russia","Palaeogeography, Palaeoclimatology, Palaeoecology",LakeSediment,68.889,10888.064,pollen,60,15,this compilation,wave3,5.545709354
54,54,-17.4205,-71.769,M135_005_3,M135_005_3.Salvatteci.2019.lpd,-197,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Salvatteci, Renato; Schneider, Ralph R.; Blanz, Thomas; Molliera芒鈥毬偮怴ogel, Elfi",2019,Deglacial to Holocene ocean temperatures in the Humboldt Current system as indicated by alkenone paleothermometry,Geophysical Research Letters,MarineSediment,-47.8,11326.7,alkenone,180,5,10.1594/PANGAEA.897235,wave3,15.82487142
