FID,PageName,PageNumber,area,a_weight,t100,t200,t300,t400,t500,t600,t700,t800,t900,t1000,t1100,t1200,t1300,t1400,t1500,t1600,t1700,t1800,t1900,t2000,t2100,t2200,t2300,t2400,t2500,t2600,t2700,t2800,t2900,t3000,t3100,t3200,t3300,t3400,t3500,t3600,t3700,t3800,t3900,t4000,t4100,t4200,t4300,t4400,t4500,t4600,t4700,t4800,t4900,t5000,t5100,t5200,t5300,t5400,t5500,t5600,t5700,t5800,t5900,t6000,t6100,t6200,t6300,t6400,t6500,t6600,t6700,t6800,t6900,t7000,t7100,t7200,t7300,t7400,t7500,t7600,t7700,t7800,t7900,t8000,t8100,t8200,t8300,t8400,t8500,t8600,t8700,t8800,t8900,t9000,t9100,t9200,t9300,t9400,t9500,t9600,t9700,t9800,t9900,t10000,t10100,t10200,t10300,t10400,t10500,t10600,t10700,t10800,t10900,t11000,t11100,t11200,t11300,t11400,t11500,t11600,t11700,t11800,t11900,t12000,t12100,t12200,t12300,t12400,t12500,t12600,t12700,t12800,t12900,t13000,t13100,t13200,t13300,t13400,t13500,t13600,t13700,t13800,t13900,t14000,t14100,t14200,t14300,t14400,t14500,t14600,t14700,t14800,t14900,t15000,t15100,t15200,t15300,t15400,t15500,t15600,t15700,t15800,t15900,t16000,t16100,t16200,t16300,t16400,t16500,t16600,t16700,t16800,t16900,t17000,t17100,t17200,t17300,t17400,t17500,t17600,t17700,t17800,t17900,t18000,t18100,t18200,t18300,t18400,t18500,t18600,t18700,t18800,t18900,t19000,t19100,t19200,t19300,t19400,t19500,t19600,t19700,t19800,t19900,t20000,t20100,t20200,t20300,t20400,t20500,t20600,t20700,t20800,t20900,t21000,t21100,t21200,t21300,t21400,t21500,t21600,t21700,t21800,t21900,t22000
752,K33,753,245273.1178,0.798033768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753,K34,754,245273.1178,0.798033768,1.79607594,1.765259385,1.734442711,1.703626037,1.672809362,1.641992807,1.725538611,1.91896224,2.11238575,2.305809498,2.499233007,2.662162304,2.765896797,2.86963129,2.973365545,3.077100039,3.126892567,3.126892567,3.126892567,3.126892567,3.126892567,3.126892567,3.126892567,3.126892567,3.126892567,2.993870497,2.853847027,2.713823795,2.573800325,2.433777094,2.293753862,2.153730392,2.013707161,1.922432542,1.910695434,1.898958325,1.887221217,1.875484109,1.86374712,1.852010012,1.840272903,1.828535795,1.826892614,1.826892614,1.826892614,1.826892614,1.826892614,1.826892614,1.826892614,1.826892614,1.870799422,1.960405111,2.05001092,2.139616728,2.229222298,2.318828106,2.488526821,2.666146517,2.843766451,3.021386385,3.199006319,3.273267508,3.081748962,2.890230417,2.698712111,2.507193565,2.31567502,2.124156713,1.932638168,1.90038991,1.873067498,1.845745087,1.818422675,1.791100264,1.763777852,1.736455441,1.738417387,1.756147981,1.773878455,1.79160893,1.809339404,1.827245355,1.862518668,1.897792101,1.933065414,1.968338847,2.00361228,2.030460358,2.040953398,2.051446676,2.061939716,2.072432995,2.082926273,2.093419313,2.103912592,2.114405632,2.124898911,1.97642827,1.79066968,1.604911208,1.419152617,1.233394146,1.047635674,0.953610182,1.029946089,1.106281877,1.182617784,1.258953691,1.158632517,-0.371004134,-1.900640845,-3.430277586,-4.959914207,-6.489551067,-6.430109501,-6.15397501,-5.877840996,-5.601706982,-5.325572968,-5.091957092,-4.86831522,-4.644672871,-4.421030521,-4.197388649,-3.9737463,-4.278512955,-5.015613556,-5.752714157,-6.489815235,-6.36438942,-5.304560184,-4.244731426,-3.184902191,-2.125073195,-1.065244198,-0.410607398,0.006059276,0.422725946,0.73492831,0.76469022,0.794452131,0.824214041,0.854385078,0.884596527,0.914808035,-0.024326904,-1.609692812,-3.195058584,-4.691568851,-5.999261379,-7.30695343,-7.934397697,-8.297301292,-8.660203934,-9.023107529,-9.38601017,-9.488430023,-9.508591652,-9.528752327,-9.548913956,-9.569075584,-9.666857719,-9.784045219,-9.863768578,-9.824858665,-9.7859478,-9.642248154,-9.446935654,-9.316414833,-9.710115433,-10.10381603,-10.05198669,-9.664055824,-8.90897274,-7.05243206,-5.195892334,-4.527537823,-4.021208763,-3.470565081,-2.877344608,-2.483513594,-3.219554186,-3.955594778,-4.691635132,-5.235797882,-5.058132648,-4.880467892,-4.702802658,-4.251026154,-3.058132887,-1.865239382,-0.672345996,-0.291889131,-1.560924649,-2.829960108,-4.098995686,-4.397497654,-3.17798543,-1.958473206,-0.738961041,0.480551153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
754,K35,755,245273.1178,0.798033768,0,0,0,0,-1.503489017,-1.39009726,-1.288618445,-1.203131199,-1.157652617,-0.896012187,-0.965286672,-1.420630336,-1.224525958,-1.416433245,-1.380221546,-1.278240144,-1.365919471,-1.33569783,-1.273217648,-1.371037871,-1.301163673,-1.101121962,-0.902077407,-1.110014796,-0.973615259,-0.965363085,-0.899363577,-0.839139074,-0.89514935,-0.898817211,-0.66755414,-0.999157041,-0.992615879,-0.766400874,-0.734020859,-0.770035744,-0.889088184,-0.555925041,-0.689886212,-0.793486476,-0.794604689,-0.663255244,-0.778705806,-0.805681676,-0.711390808,-0.498129778,-0.61468856,-0.734046429,-0.793621868,-0.709470347,-0.708926618,-0.760304809,-0.673424244,-0.697675899,-0.583898574,-0.390040934,-0.215042613,-0.283487365,-0.27086293,-0.220337015,-0.247394834,-0.254591636,-0.103017639,-0.089543995,-0.183143556,-0.051707059,0.080700904,0.208154663,-0.210942671,-0.447205417,-0.259362668,-0.235607237,-0.268763073,-0.22325556,-0.115461126,0.032173134,-0.034070529,-0.185298264,-0.287435967,-0.331842452,-0.412227079,-0.418050304,-0.218921185,-0.233089879,-0.222561076,-0.001760241,0.058386199,0.386223558,0.194439534,0.201200813,0.209321588,0.370912552,0.393622547,0.261318222,0.160127841,0.230275273,0.238990391,0.28358045,0.328223307,0.121356383,0.072253183,0.25070098,0.258784778,0.283990152,0.251536526,-0.000987753,0.141386943,0.308381632,-0.021150365,-0.413029902,-0.517732508,-0.187223144,-0.281411797,-0.23847314,0.008580605,-0.093205109,-0.227133676,-0.361062258,-0.405705124,-0.428026527,-0.550347984,-0.751240849,-0.859276533,-0.769990802,-0.710748732,-0.997008264,-1.283267856,-1.286910415,-0.958785474,-0.630660474,-0.38784796,-0.38784796,-0.38784796,-0.390582353,-0.429644853,-0.468707353,-0.507769823,-0.506051064,-0.498238593,-0.490426093,-0.498316705,-0.513941705,-0.529566705,-0.548898101,-0.572409093,-0.595920086,-0.595347941,-0.532847941,-0.470347971,-0.412222952,-0.404410452,-0.396597952,-0.388785452,-0.401641071,-0.417315066,-0.432989031,-0.44862923,-0.46425423,-0.47987923,-0.682292402,-1.079117775,-1.475943208,-1.351341367,-1.210612893,-1.069884419,-1.298775077,-1.41599369,-1.366324782,-1.424437404,-1.452382803,-1.427465916,-1.402548909,-1.415000319,-1.481225491,-1.517649293,-1.547533393,-1.572367787,-1.597202301,-1.551181316,-1.384514689,-1.190000296,-1.058479071,-1.046343088,-1.023629904,-0.976236582,-0.9288432,-0.881449878,-0.84304893,-0.90806073,-0.973072529,-1.038084388,-1.103096247,-1.102776885,-1.090928555,-1.079080224,-1.067231894,-1.059124589,-1.053214431,-1.047304273,-1.041394114,-1.037847996,-1.037847996,-1.037847996,-1.037847996,-1.043167114,-1.072717905,-1.102268815,-1.131819606,-1.161370397,-1.162847996,-1.162847996,-1.162847996,-1.162847996,0,0,0,0,0,0,0
755,K36,756,245273.1178,0.798033768,0,0,0,0,0,0,0,0,0,0,0.085389644,0.006465876,-0.172906324,-0.286231965,-0.151096836,-0.016404079,0.118125066,0.388092339,0.780008495,0.510950208,0.241891891,0.238768026,0.257586956,0.16790086,0.096200451,0.231335595,0.231577978,0.141891882,0.185389638,0.455659926,0.260642171,0.008116916,0.6058442,0.349025995,0.3558442,0.570238113,0.770668805,0.719907403,0.709632039,0.785389662,0.633874476,0.4899351,0.717207849,0.785389662,0.722098529,0.778666973,1.187921286,0.941692173,0.322098494,0.469423264,0.585389614,0.365050673,0.085389644,0.085389644,0.085389644,0.276986271,0.341085851,0.433288813,1.039820075,1.1901896,1.063650489,1.185389638,1.190824389,1.285389662,1.285389662,1.203867912,1.006253004,0.741911411,0.585389614,0.676693976,1.232871652,1.448698998,1.034302711,1.048148274,1.17300868,1.128701687,0.746536136,0.605389655,0.585389614,0.625389636,0.683478832,0.04653614,0.291103929,0.446149141,0.003111162,0.259675354,0.285389632,0.382532507,0.647979558,0.863806903,1.234409213,0.891272008,1.13048768,1.392636061,1.029507279,0.974605322,0.991271973,1.471848011,1.501179099,0.764337003,0.264213175,-0.021669181,0.29788965,0.526566088,0.828919053,0.337175369,0.185389638,0.487889647,0.320524782,-0.790120542,-0.516651154,-0.03926789,-0.253799558,-0.796577573,-1.414610386,-2.169712305,-3.677110434,-3.306564331,-2.866334438,-3.312855959,-4.09675312,-5.028895855,-5.714610577,-5.97175312,-6.043896198,-5.829610348,-6.143181801,-5.621753216,-4.787583351,-4.137824535,-3.710528612,-3.545379639,-3.655269623,-3.570860386,-3.003134966,-2.43719101,-2.740839958,-2.617888927,-2.914610386,-2.736561537,-2.687781096,-3.331683636,-3.002110243,-4.05844593,-3.643777132,-4.211858273,-5.052025318,-5.392161369,-5.815281391,-6.120015621,-5.489385128,-4.858754635,-5.126690865,-5.572268009,-6.157853603,-6.481724262,-5.877697468,-5.78859663,-5.889948368,-5.991299629,-6.422718525,-6.828124046,-7.233529091,-7.475684166,-7.614610195,-7.614610195,-7.318119049,-6.335662842,-6.511101723,-6.470750809,-6.347241879,-6.838469982,-7.329698086,-7.712855816,-7.946774006,-7.890048981,-7.081276894,-5.794727325,-5.564899445,-5.566909313,-5.969208241,-6.371506691,-6.773805618,-6.464394093,-5.771753311,-5.314610481,-5.314610481,-5.314610481,-5.314610481,-5.351679325,-5.394782543,-5.414610386,-5.414610386,-5.37667942,-5.222402573,-5.352272511,-5.482142925,-5.514610291,-5.514610291,-5.514610291,-5.479696751,-5.350386143,-5.221076012,-5.461008072,-5.720374107,-5.979740143,-5.990472317,-5.731851578,-5.557034492,-5.822185993,-6.087337494,-6.054610252,-6.73213625,-6.557467461,-6.271753311,-5.986039162,-5.83746767,-5.894610405,-5.95175314,-6.008895874
756,K37,757,245273.1178,0.798033768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757,K38,758,245273.1178,0.798033768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758,K39,759,245273.1178,0.798033768,0,0,0,0,0,0,0,0,-0.738024116,-1.430331826,-2.122639418,-2.309562445,-2.309562445,-2.309562445,-2.309562445,-2.309562445,-2.084465981,-1.659755588,-1.235045195,-0.992639482,-0.761870265,-0.491870254,-0.145716399,0.200437441,0.119668216,-0.111101016,-0.341870248,-0.572639465,-0.803408682,-0.805716395,-0.613408685,-0.421101004,0.17113243,0.788893044,1.136591315,0.982745111,0.828898966,0.675052822,0.521206677,0.411270767,0.550159693,0.689048588,0.736270785,0.782567084,0.809650421,0.832798541,0.85594672,0.879094839,0.890437424,0.890437424,0.890437424,0.890437424,0.816983819,0.430385888,0.043787964,-0.342809975,-0.777130127,-1.317670703,-1.85821116,-1.809562564,-1.531784773,-1.03363657,-0.362340331,0.308955967,0.980252266,1.412659645,1.088585615,0.805252254,0.990437448,1.175622582,1.126548529,1.057104111,0.987659693,0.918215215,1.061255932,1.345953465,1.630650997,1.771049738,1.617042899,1.402975678,1.188908339,1.189823985,1.373872995,2.339517117,3.02193594,2.777287483,2.532639265,2.281848431,1.422952771,0.98368901,1.22908771,0.739978731,0.006033778,-0.727911174,-0.31447053,1.341971159,0.859968722,0.000593698,-0.496059626,-0.104670182,0.286719263,0.678108692,1.069498062,1.326907992,0.973966837,0.621025681,0.268953085,-0.08260943,-0.448538065,-1.00533092,-1.562123775,-2.11891675,-2.675709486,-3.231784821,-3.787340403,-3.586982012,-2.342742205,-1.623188376,-2.477691889,-3.332195282,-4.186698914,-5.041202068,-5.50298357,-5.930614948,-6.358246803,-5.123408794,-4.352805614,-4.082535744,-3.812265158,-3.541995049,-3.291690111,-3.164030552,-3.036370993,-3.009562492,-3.009562492,-3.168711424,-3.530413628,-3.892115831,-4.253818035,-4.61552,-4.364647388,-3.898545504,-3.544881582,-3.374668837,-3.216583729,-3.450626373,-3.684669018,-3.918711424,-4.15275383,-4.112967014,-3.517222166,-2.921477556,-2.014131069,-1.124153256,-2.583228111,-4.042302608,-4.995276928,-3.923848152,-3.766300201,-4.017747402,-4.551555634,-5.085363388,-5.598530293,-6.096751213,-6.594971657,-6.269562721,-5.96241951,-6.105277061,-6.178601742,-6.249775887,-6.258316994,-5.93803215,-5.617747784,-5.370014668,-5.257019997,-5.144025803,-5.031031609,-5.101088047,-5.214082241,-5.327076912,-5.421003342,-5.463376045,-5.505749226,-5.548121929,-5.590494633,-5.632867813,-5.675240517,-5.714929581,-5.743178368,-5.771427155,-5.799675465,-5.805892468,-5.800245762,-5.794599056,-5.788952827,-5.783306122,-5.777659893,-5.772013187,-5.766366482,-5.760720253,-5.755073547,-5.749426842,-5.743780613,-5.738133907,-5.732487679,-5.726840973,-5.721194267,-5.715548038,-5.709901333,-5.842330933,-5.983573914,-6.124816895,-6.198263168,-6.170014381,-6.141766071,-6.113517284,-6.085268974,-6.057020187,-6.0287714,-6.036681175
759,K40,760,245273.1178,0.798033768,0,1.014871597,0.996689796,1.233053446,2.445174694,3.657295942,4.869417191,1.702750444,2.136083841,3.319417,3.969417095,3.70787859,2.4001863,2.200186253,2.299851894,2.517243147,2.734634399,2.952025652,3.169417143,3.52655983,3.883702755,4.2659688,4.748727322,5.231485844,4.876313686,2.565968752,0.255623966,-0.551272571,0.897003293,2.345279217,2.948727369,2.707348108,2.465968847,2.540845633,2.82656002,3.11227417,3.390106678,3.665968895,3.941830873,4.580131531,5.258702755,5.848727226,5.641830921,5.434934139,5.505131245,6.683702946,7.86227417,8.140845299,7.069417,5.997988701,4.724972725,3.317565203,1.9101578,2.86227417,4.07656002,5.213861465,5.658306122,6.102750301,6.280528069,6.05830574,5.836083889,5.613861561,5.391639233,5.169416904,4.947195053,4.724972725,4.580955505,4.619417191,4.657878399,3.215570927,1.138647795,-0.73799032,-0.812064409,-0.886138499,-0.915198326,-0.87673676,-0.838275254,-0.369044483,0.207878605,0.692493975,0.807878613,0.923263192,0.600186288,-0.015198317,-0.630582929,-0.207506016,0.215570912,0.62326324,1.007878661,1.392493963,1.309417009,1.109417081,0.856917083,0.481917053,0.106917068,-0.110582933,-0.310582936,-0.213916272,0.327750415,0.869417071,1.173764944,1.478112698,1.306917071,0.931917071,0.317243159,-0.856669903,-2.030582905,-2.465365648,-2.900148153,-3.243626356,-3.547974348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,K41,761,245273.1178,0.798033768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,K42,762,245273.1178,0.798033768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,K43,763,245273.1178,0.798033768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,K44,764,245273.1178,0.798033768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,K45,765,245273.1178,0.798033768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,K46,766,245273.1178,0.798033768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,K47,767,245273.1178,0.798033768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,K48,768,245273.1178,0.798033768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,K49,769,245273.1178,0.798033768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769,K50,770,245273.1178,0.798033768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,K51,771,245273.1178,0.798033768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
